# Energy	Flux
# keV	photon/(cm**2*s*keV)
5.529249999999999998e-01	4.199232323232362318e-07
5.539149999999999352e-01	4.154303030303068874e-07
5.549049999999999816e-01	4.095121212121249856e-07
5.558950000000000280e-01	4.475686868686909725e-07
5.568850000000000744e-01	3.963151515151551987e-07
5.578750000000000098e-01	3.913363636363672747e-07
5.588649999999999451e-01	5.171888888888936634e-07
5.598549999999999915e-01	3.446111111111142679e-06
5.608450000000000379e-01	2.167555555555575385e-04
5.618349999999999733e-01	6.790717171717234231e-07
5.628250000000000197e-01	3.924434343434379487e-06
5.638149999999999551e-01	3.522454545454577929e-07
5.648050000000000015e-01	4.005919191919228845e-07
5.657950000000000479e-01	3.959636363636400464e-07
5.667849999999999833e-01	3.695808080808115200e-07
5.677750000000000297e-01	1.493252525252538858e-06
5.687649999999999650e-01	5.097404040404086828e-05
5.697550000000000114e-01	7.329909090909158211e-07
5.707450000000000578e-01	3.796363636363671369e-07
5.717349999999999932e-01	6.861535353535417250e-06
5.727249999999999286e-01	1.674505050505065883e-05
5.737149999999999750e-01	2.767707070707096212e-04
5.747050000000000214e-01	1.007276767676776972e-06
5.756950000000000678e-01	3.001848484848512300e-07
5.766850000000000032e-01	2.969414141414168669e-07
5.776749999999999385e-01	2.957545454545481684e-07
5.786649999999999849e-01	2.921474747474774337e-07
5.796550000000000313e-01	2.897747474747501560e-07
5.806450000000000777e-01	2.874353535353561788e-07
5.816350000000000131e-01	2.851383838383864697e-07
5.826249999999999485e-01	2.827808080808107162e-07
5.836149999999999949e-01	2.804727272727298540e-07
5.846050000000000413e-01	2.781656565656591640e-07
5.855949999999999767e-01	2.759000000000025698e-07
5.865850000000000231e-01	2.736232323232348755e-07
5.875749999999999584e-01	2.713393939393964521e-07
5.885650000000000048e-01	2.690838383838408918e-07
5.895550000000000512e-01	2.669121212121236425e-07
5.905449999999999866e-01	2.662353535353559625e-07
5.915349999999999220e-01	2.636909090909114798e-07
5.925249999999999684e-01	5.560444444444495806e-06
5.935150000000000148e-01	2.601262626262650131e-07
5.945050000000000612e-01	2.571686868686892146e-07
5.954949999999999966e-01	2.535666666666690232e-07
5.964849999999999319e-01	2.514515151515174470e-07
5.974749999999999783e-01	2.492747474747497602e-07
5.984650000000000247e-01	2.490383838383861398e-07
5.994550000000000711e-01	3.013747474747502334e-07
6.004450000000000065e-01	2.428424242424264687e-07
6.014349999999999419e-01	2.476808080808104085e-07
6.024249999999999883e-01	2.392848484848506781e-07
6.034150000000000347e-01	2.580666666666690437e-07
6.044049999999999701e-01	2.344181818181839546e-07
6.053950000000000164e-01	2.421929292929315324e-07
6.063849999999999518e-01	2.309474747474768857e-07
6.073749999999999982e-01	2.314828282828304094e-07
6.083650000000000446e-01	2.259666666666687496e-07
6.093549999999999800e-01	2.235323232323252819e-07
6.103450000000000264e-01	2.211656565656586139e-07
6.113349999999999618e-01	2.187494949494969488e-07
6.123250000000000082e-01	2.187393939393959679e-07
6.133150000000000546e-01	2.141575757575777162e-07
6.143049999999999899e-01	2.115989898989918549e-07
6.152949999999999253e-01	2.092404040404059822e-07
6.162849999999999717e-01	2.068898989899009049e-07
6.172750000000000181e-01	2.045515151515170205e-07
6.182650000000000645e-01	2.024252525252543970e-07
6.192549999999999999e-01	2.003525252525271154e-07
6.202449999999999353e-01	1.980949494949513165e-07
6.212349999999999817e-01	1.957616161616179755e-07
6.222250000000000281e-01	1.974151515151533316e-07
6.232150000000000745e-01	1.993262626262644687e-07
6.242050000000000098e-01	1.948666666666684513e-07
6.251949999999999452e-01	1.604262626262640978e-06
6.261849999999999916e-01	2.047181818181836820e-07
6.271750000000000380e-01	2.627282828282852882e-07
6.281649999999999734e-01	1.798727272727289135e-07
6.291550000000000198e-01	1.775292929292945651e-07
6.301449999999999552e-01	1.753606060606076736e-07
6.311350000000000016e-01	2.288606060606081460e-07
6.321250000000000480e-01	1.970111111111129039e-07
6.331149999999999833e-01	1.681747474747490406e-07
6.341050000000000297e-01	1.651888888888904320e-07
6.350949999999999651e-01	1.624666666666681612e-07
6.360850000000000115e-01	1.597404040404055191e-07
6.370750000000000579e-01	1.574242424242438880e-07
