# Energy	Flux
# keV	photon/(s*keV*arcmin**2)
3.385000000000000231e-01	4.785994149454836431e-04
3.395000000000000240e-01	4.778370711816328528e-04
3.405000000000000249e-01	4.770889105575747309e-04
3.415000000000000258e-01	4.763336583636203561e-04
3.425000000000000266e-01	4.755890435245102793e-04
3.435000000000000275e-01	4.748515202552966181e-04
3.444999999999999729e-01	4.741210885559791013e-04
3.454999999999999738e-01	4.733942026416097923e-04
3.464999999999999747e-01	4.726708625121886910e-04
3.474999999999999756e-01	4.719546139526637884e-04
3.484999999999999765e-01	4.712454569630351929e-04
3.494999999999999774e-01	4.705398457583547509e-04
3.504999999999999782e-01	4.698413261235706703e-04
3.514999999999999791e-01	4.691463522737346890e-04
3.524999999999999800e-01	4.684620157787431141e-04
3.534999999999999809e-01	4.677741334988033857e-04
3.544999999999999818e-01	4.670933427887598560e-04
3.554999999999999827e-01	4.664196436486127417e-04
3.564999999999999836e-01	4.657494902934137268e-04
3.574999999999999845e-01	4.650864285081110190e-04
3.584999999999999853e-01	4.644269125077564648e-04
3.594999999999999862e-01	4.637744880772981092e-04
3.604999999999999871e-01	4.631256094317880156e-04
3.614999999999999880e-01	4.624802765712259672e-04
3.624999999999999889e-01	4.618420352805602800e-04
3.634999999999999898e-01	4.612073397748426922e-04
3.644999999999999907e-01	4.605797358390214115e-04
3.654999999999999916e-01	4.599485861182519772e-04
3.664999999999999925e-01	4.593280737523269494e-04
3.674999999999999933e-01	4.587146529562982828e-04
3.684999999999999942e-01	4.581012321602695621e-04
3.694999999999999951e-01	4.574949029341370942e-04
3.704999999999999960e-01	4.568921194929527799e-04
3.714999999999999969e-01	4.562928818367166192e-04
3.724999999999999978e-01	4.556971899654286120e-04
3.734999999999999987e-01	4.551085896640369118e-04
3.744999999999999996e-01	4.545235351475933111e-04
3.755000000000000004e-01	4.539420264160979181e-04
3.765000000000000013e-01	4.533676092544987779e-04
3.775000000000000022e-01	4.527931920928996378e-04
3.785000000000000031e-01	4.522294122861448499e-04
3.795000000000000040e-01	4.516620866944420169e-04
3.805000000000000049e-01	4.511018526726354367e-04
3.815000000000000058e-01	4.505451644357770643e-04
3.825000000000000067e-01	4.499920219838666829e-04
3.835000000000000075e-01	4.494459711018527169e-04
3.845000000000000084e-01	4.488999202198386967e-04
3.855000000000000093e-01	4.483609609077209837e-04
3.865000000000000102e-01	4.478255473805513700e-04
3.875000000000000111e-01	4.472936796383300182e-04
3.885000000000000120e-01	4.467653576810566574e-04
3.895000000000000129e-01	4.462405815087315043e-04
3.905000000000000138e-01	4.457193511213545590e-04
3.915000000000000147e-01	4.452016665189256588e-04
3.925000000000000155e-01	4.446910734863930657e-04
3.935000000000000164e-01	4.441840262388086261e-04
3.945000000000000173e-01	4.436734332062760330e-04
3.955000000000000182e-01	4.431734775285879006e-04
3.965000000000000191e-01	4.426735218508997681e-04
3.975000000000000200e-01	4.421771119581597350e-04
3.985000000000000209e-01	4.416877936353160632e-04
3.995000000000000218e-01	4.411984753124723372e-04
4.005000000000000226e-01	4.407162485595249183e-04
4.015000000000000235e-01	4.402340218065774993e-04
4.025000000000000244e-01	4.397553408385781256e-04
4.035000000000000253e-01	4.392837514404751673e-04
4.045000000000000262e-01	4.388121620423722090e-04
4.055000000000000271e-01	4.383441184292172959e-04
4.064999999999999725e-01	4.378796206010105905e-04
4.074999999999999734e-01	4.374222143427001380e-04
4.084999999999999742e-01	4.369683538693378390e-04
4.094999999999999751e-01	4.365109476110273865e-04
4.104999999999999760e-01	4.360606329226132953e-04
4.114999999999999769e-01	4.356103182341991499e-04
4.124999999999999778e-01	4.351670951156812574e-04
4.134999999999999787e-01	4.347274177821115726e-04
4.144999999999999796e-01	4.342877404485418337e-04
4.154999999999999805e-01	4.338551546848684018e-04
4.164999999999999813e-01	4.334225689211949699e-04
4.174999999999999822e-01	4.329935289424696916e-04
4.184999999999999831e-01	4.325680347486925668e-04
4.194999999999999840e-01	4.321460863398635414e-04
4.204999999999999849e-01	4.317276837159826695e-04
4.214999999999999858e-01	4.313092810921017976e-04
4.224999999999999867e-01	4.308944242531690793e-04
4.234999999999999876e-01	4.304866589841326681e-04
4.244999999999999885e-01	4.300788937150962026e-04
4.254999999999999893e-01	4.296782200159560442e-04
4.264999999999999902e-01	4.292704547469196330e-04
4.274999999999999911e-01	4.288733268327276282e-04
4.284999999999999920e-01	4.284761989185356234e-04
4.294999999999999929e-01	4.280826167892917721e-04
4.304999999999999938e-01	4.276925804449960744e-04
4.314999999999999947e-01	4.273060898856484218e-04
4.324999999999999956e-01	4.269195993263008777e-04
4.334999999999999964e-01	4.265366545519014329e-04
4.344999999999999973e-01	4.261572555624501958e-04
4.354999999999999982e-01	4.257814023579470039e-04
4.364999999999999991e-01	4.254055491534438661e-04
4.375000000000000000e-01	4.250367875188370355e-04
4.385000000000000009e-01	4.246680258842301507e-04
4.395000000000000018e-01	4.242992642496233200e-04
4.405000000000000027e-01	4.239375941849127423e-04
4.415000000000000036e-01	4.235759241202021103e-04
4.425000000000000044e-01	4.232177998404397404e-04
4.435000000000000053e-01	4.228667671305735691e-04
4.445000000000000062e-01	4.225086428508111449e-04
4.455000000000000071e-01	4.221576101409449736e-04
4.465000000000000080e-01	4.218101232160269558e-04
4.475000000000000089e-01	4.214626362911089922e-04
4.485000000000000098e-01	4.211186951511391280e-04
4.495000000000000107e-01	4.207782997961174174e-04
4.505000000000000115e-01	4.204414502260438061e-04
4.515000000000000124e-01	4.201046006559702489e-04
4.525000000000000133e-01	4.197712968708448454e-04
4.535000000000000142e-01	4.194379930857193876e-04
4.545000000000000151e-01	4.191117808704902369e-04
4.555000000000000160e-01	4.187820228703129869e-04
4.565000000000000169e-01	4.184593564400319356e-04
4.575000000000000178e-01	4.181366900097509384e-04
4.585000000000000187e-01	4.178175693644180407e-04
4.595000000000000195e-01	4.174984487190852513e-04
4.605000000000000204e-01	4.171864196436486606e-04
4.615000000000000213e-01	4.168708447832639706e-04
4.625000000000000222e-01	4.165623614927754792e-04
4.635000000000000231e-01	4.162574239872351956e-04
4.645000000000000240e-01	4.159453949117986049e-04
4.655000000000000249e-01	4.156440031912065291e-04
4.665000000000000258e-01	4.153390656856661913e-04
4.675000000000000266e-01	4.150412197500222148e-04
4.685000000000000275e-01	4.147433738143781841e-04
4.694999999999999729e-01	4.144490736636823611e-04
4.704999999999999738e-01	4.141547735129864839e-04
4.714999999999999747e-01	4.138640191472387603e-04
4.724999999999999756e-01	4.135732647814910367e-04
4.734999999999999765e-01	4.132860562006914667e-04
4.744999999999999774e-01	4.130023934048399959e-04
4.754999999999999782e-01	4.127187306089885794e-04
4.764999999999999791e-01	4.124386135980853164e-04
4.774999999999999800e-01	4.121584965871819993e-04
4.784999999999999809e-01	4.118819253612268898e-04
4.794999999999999818e-01	4.116053541352717262e-04
4.804999999999999827e-01	4.113323286942647161e-04
4.814999999999999836e-01	4.110628490382058596e-04
4.824999999999999845e-01	4.107933693821470031e-04
4.834999999999999853e-01	4.105274355110363001e-04
4.844999999999999862e-01	4.102650474248736964e-04
4.854999999999999871e-01	4.099991135537629935e-04
4.864999999999999880e-01	4.097367254676004440e-04
4.874999999999999889e-01	4.094778831663859939e-04
4.884999999999999898e-01	4.092190408651715438e-04
4.894999999999999907e-01	4.089637443489052473e-04
4.904999999999999916e-01	4.087084478326389507e-04
4.914999999999999925e-01	4.084566971013208619e-04
4.924999999999999933e-01	4.082049463700027189e-04
4.934999999999999942e-01	4.079567414236326753e-04
4.944999999999999951e-01	4.077120822622108394e-04
4.954999999999999960e-01	4.074674231007890035e-04
4.964999999999999969e-01	4.072227639393671134e-04
4.974999999999999978e-01	4.069816505628934310e-04
4.984999999999999987e-01	4.067405371864196402e-04
4.994999999999999996e-01	4.065029695948941114e-04
5.004999999999999449e-01	4.062689477883166820e-04
5.014999999999999458e-01	4.060313801967910989e-04
5.024999999999999467e-01	4.058009041751618230e-04
5.034999999999999476e-01	4.055704281535324929e-04
5.044999999999999485e-01	4.053399521319032170e-04
5.054999999999999494e-01	4.051130218952220946e-04
5.064999999999999503e-01	4.048860916585409180e-04
5.074999999999999512e-01	4.046627072068079492e-04
5.084999999999999520e-01	4.044393227550749262e-04
5.094999999999999529e-01	4.042159383033419573e-04
5.104999999999999538e-01	4.039996454215051872e-04
5.114999999999999547e-01	4.037798067547203719e-04
5.124999999999999556e-01	4.035635138728836560e-04
5.134999999999999565e-01	4.033507667759950394e-04
5.144999999999999574e-01	4.031344738941583777e-04
5.154999999999999583e-01	4.029252725822179146e-04
5.164999999999999591e-01	4.027160712702774516e-04
5.174999999999999600e-01	4.025068699583370969e-04
5.184999999999999609e-01	4.022976686463966339e-04
5.194999999999999618e-01	4.020920131194043244e-04
5.204999999999999627e-01	4.018899033773601684e-04
5.214999999999999636e-01	4.016877936353160667e-04
5.224999999999999645e-01	4.014856838932719107e-04
5.234999999999999654e-01	4.012871199361759083e-04
5.244999999999999662e-01	4.010885559790799059e-04
5.254999999999999671e-01	4.008935378069320029e-04
5.264999999999999680e-01	4.006985196347841540e-04
5.274999999999999689e-01	4.005035014626363052e-04
5.284999999999999698e-01	4.003120290754366099e-04
5.294999999999999707e-01	4.001205566882369146e-04
5.304999999999999716e-01	3.999326300859853186e-04
5.314999999999999725e-01	3.997447034837337768e-04
5.324999999999999734e-01	3.995567768814821267e-04
5.334999999999999742e-01	3.993759418491268920e-04
5.344999999999999751e-01	3.991880152468752960e-04
5.354999999999999760e-01	3.990071802145200614e-04
5.364999999999999769e-01	3.988263451821647183e-04
5.374999999999999778e-01	3.986455101498094294e-04
5.384999999999999787e-01	3.984682209024023483e-04
5.394999999999999796e-01	3.982909316549951588e-04
5.404999999999999805e-01	3.981171881925361770e-04
5.414999999999999813e-01	3.979434447300771410e-04
5.424999999999999822e-01	3.977697012676181592e-04
5.434999999999999831e-01	3.975995035901072768e-04
5.444999999999999840e-01	3.974293059125964486e-04
5.454999999999999849e-01	3.972591082350855661e-04
5.464999999999999858e-01	3.970924563425228915e-04
5.474999999999999867e-01	3.969258044499601626e-04
5.484999999999999876e-01	3.967591525573974337e-04
5.494999999999999885e-01	3.965960464497828583e-04
5.504999999999999893e-01	3.964329403421682830e-04
5.514999999999999902e-01	3.962733800195018612e-04
5.524999999999999911e-01	3.961138196968353852e-04
5.534999999999999920e-01	3.959542593741690176e-04
5.544999999999999929e-01	3.957946990515025416e-04
5.554999999999999938e-01	3.956386845137842734e-04
5.564999999999999947e-01	3.954862157610141045e-04
