# Energy	Flux
# keV	photon/(cm**2*s*keV*arcmin**2)
 0.9085  2.9980e-4
 0.9095  2.9980e-4
 0.9105  2.9980e-4
 0.9115  2.9980e-4
 0.9125  2.9980e-4
 0.9135  2.9980e-4
 0.9145  2.9980e-4
 0.9155  2.9980e-4
 0.9165  2.9980e-4
 0.9175  2.9980e-4
 0.9185  2.9980e-4
 0.9195  2.9980e-4
 0.9205  2.9980e-4
 0.9215  2.9980e-4
 0.9225  2.9980e-4
 0.9235  2.9980e-4
 0.9245  2.9980e-4
 0.9255  2.9980e-4
 0.9265  2.9980e-4
 0.9275  2.9980e-4
 0.9285  2.9980e-4
 0.9295  2.9980e-4
 0.9305  2.9980e-4
 0.9315  2.9980e-4
 0.9325  2.9980e-4
 0.9335  2.9980e-4
 0.9345  2.9980e-4
 0.9355  2.9980e-4
 0.9365  2.9980e-4
 0.9375  2.9980e-4
 0.9385  2.9980e-4
 0.9395  2.9980e-4
 0.9405  2.9980e-4
 0.9415  2.9980e-4
 0.9425  2.9980e-4
 0.9435  2.9980e-4
 0.9445  2.9980e-4
 0.9455  2.9980e-4
 0.9465  2.9980e-4
 0.9475  2.9980e-4
 0.9485  2.9980e-4
 0.9495  2.9980e-4
 0.9505  2.9980e-4
 0.9515  2.9980e-4
 0.9525  2.9980e-4
 0.9535  2.9980e-4
 0.9545  2.9980e-4
 0.9555  2.9980e-4
 0.9565  2.9980e-4
 0.9575  2.9980e-4
 0.9585  2.9980e-4
 0.9595  2.9980e-4
 0.9605  2.9980e-4
 0.9615  2.9980e-4
 0.9625  2.9980e-4
 0.9635  2.9980e-4
 0.9645  2.9980e-4
 0.9655  2.9980e-4
 0.9665  2.9980e-4
 0.9675  2.9980e-4
 0.9685  2.9980e-4
 0.9695  2.9980e-4
 0.9705  2.9980e-4
 0.9715  2.9980e-4
 0.9725  2.9980e-4
 0.9735  2.9980e-4
 0.9745  2.9980e-4
 0.9755  2.9980e-4
 0.9765  2.9980e-4
 0.9775  2.9980e-4
 0.9785  2.9980e-4
 0.9795  2.9980e-4
 0.9805  2.9980e-4
 0.9815  2.9980e-4
 0.9825  2.9980e-4
 0.9835  2.9980e-4
 0.9845  2.9980e-4
 0.9855  2.9980e-4
 0.9865  2.9980e-4
 0.9875  2.9980e-4
 0.9885  2.9980e-4
 0.9895  2.9980e-4
 0.9905  2.9980e-4
 0.9915  2.9980e-4
 0.9925  2.9980e-4
 0.9935  2.9980e-4
 0.9945  2.9980e-4
