# Energy	Flux
# keV		photon/(cm**2*s*keV*arcmin**2)
4.835000038146972656e-01	1.491379482679487613e-04
4.844999909400939941e-01	1.491862965922380649e-04
4.855000078678131104e-01	1.492393645716197316e-04
4.864999949932098389e-01	1.492966307043269421e-04
4.875000119209289551e-01	1.493566311368480361e-04
4.884999990463256836e-01	1.494190154046836326e-04
4.894999861717224121e-01	1.494838159981196112e-04
4.905000030994415283e-01	1.495512726209640981e-04
4.915000200271606445e-01	1.496210749261267276e-04
4.925000071525573730e-01	1.496896864082399221e-04
4.934999942779541016e-01	1.497536944792497975e-04
4.944999814033508301e-01	1.498122473996245580e-04
4.954999983310699463e-01	1.498649123956730252e-04
4.965000152587890625e-01	1.499125761518901238e-04
4.975000023841857910e-01	1.499557135844697357e-04
4.984999895095825195e-01	1.499932413639258741e-04
4.995000064373016357e-01	1.500256891195377474e-04
5.004999637603759766e-01	1.500536140269338259e-04
5.015000104904174805e-01	1.500758222094942574e-04
5.024999976158142090e-01	1.500909471034574496e-04
5.034999847412109375e-01	1.500974885323337507e-04
5.045000314712524414e-01	1.500964998444357333e-04
5.054999589920043945e-01	1.500915888238331267e-04
5.065000057220458984e-01	1.500847078691823055e-04
5.075000524520874023e-01	1.500768942102689461e-04
5.084999799728393555e-01	1.500682710731616391e-04
5.095000267028808594e-01	1.500565913372280190e-04
5.104999542236328125e-01	1.500407775510042348e-04
5.115000009536743164e-01	1.500219377288173044e-04
5.125000476837158203e-01	1.499995979788818227e-04
5.134999752044677734e-01	1.499726912585381557e-04
5.145000219345092773e-01	1.499409935560138470e-04
5.154999494552612305e-01	1.499033400887315136e-04
5.164999961853027344e-01	1.498594485300042513e-04
5.175000429153442383e-01	1.498107820829686760e-04
5.184999704360961914e-01	1.497585287958585803e-04
5.195000171661376953e-01	1.497021284261394443e-04
5.205000042915344238e-01	1.496399997142419669e-04
5.214999914169311523e-01	1.495727019177744163e-04
5.225000381469726562e-01	1.495032589265525027e-04
5.234999656677246094e-01	1.494348511216049091e-04
5.245000123977661133e-01	1.493695386165624288e-04
5.254999995231628418e-01	1.493075804216094826e-04
5.264999866485595703e-01	1.492483065030980941e-04
5.275000333786010742e-01	1.491911446778346694e-04
5.284999608993530273e-01	1.491352266103456695e-04
5.295000076293945312e-01	1.490795066443699175e-04
5.304999947547912598e-01	1.490244955364256562e-04
5.314999818801879883e-01	1.489724276297468895e-04
5.325000286102294922e-01	1.489249125962487997e-04
5.334999561309814453e-01	1.488818411549219605e-04
5.345000028610229492e-01	1.488422103709570595e-04
5.355000495910644531e-01	1.488032282824922525e-04
5.364999771118164062e-01	1.487628987501602416e-04
5.375000238418579102e-01	1.487223484356184420e-04
5.384999513626098633e-01	1.486817612464842871e-04
5.394999980926513672e-01	1.486414618550068779e-04
5.405000448226928711e-01	1.486031371798939634e-04
5.414999723434448242e-01	1.485679698794429822e-04
5.425000190734863281e-01	1.485374257531230416e-04
5.435000061988830566e-01	1.485129853046214250e-04
5.444999933242797852e-01	1.484948412226520754e-04
5.455000400543212891e-01	1.484821757083343492e-04
5.464999675750732422e-01	1.484744700660208319e-04
5.475000143051147461e-01	1.484717582038581050e-04
5.485000014305114746e-01	1.484745910532605086e-04
5.494999885559082031e-01	1.484832919191314267e-04
5.505000352859497070e-01	1.484992655976897992e-04
5.514999628067016602e-01	1.485241351234104022e-04
5.525000095367431641e-01	1.485580164527443823e-04
5.534999966621398926e-01	1.486023553431391751e-04
5.544999837875366211e-01	1.486567854786628197e-04
5.555000305175781250e-01	1.487185384688610745e-04
5.564999580383300781e-01	1.487854663987482281e-04
5.575000047683715820e-01	1.488556726763047512e-04
5.585000514984130859e-01	1.489290489111634596e-04
5.594999790191650391e-01	1.490057871785802274e-04
5.605000257492065430e-01	1.490858337807902056e-04
5.614999532699584961e-01	1.491684169758999946e-04
5.625000000000000000e-01	1.492525848353335090e-04
5.635000467300415039e-01	1.493375356682830968e-04
5.644999742507934570e-01	1.494234892863247359e-04
5.655000209808349609e-01	1.495112629875654665e-04
5.664999485015869141e-01	1.495991571163340374e-04
5.674999952316284180e-01	1.496844362674018959e-04
5.685000419616699219e-01	1.497652824196595987e-04
5.694999694824218750e-01	1.498411390193651698e-04
5.705000162124633789e-01	1.499111602203701693e-04
5.715000033378601074e-01	1.499728924841936518e-04
5.724999904632568359e-01	1.500228564832919032e-04
5.735000371932983398e-01	1.500598612291470740e-04
5.744999647140502930e-01	1.500845322140266014e-04
5.755000114440917969e-01	1.500976018265403949e-04
